	product_id	category_id	image	cats_id	labels
0	321012	11937	321012.jpg	11937	197
1	420744	11937	420744.jpg	11937	197
2	1183152	11937	1183152.jpg	11937	197
3	114833	11937	114833.jpg	11937	197
4	812016	11937	812016.jpg	11937	197
5	671012	11937	671012.jpg	11937	197
6	335528	11937	335528.jpg	11937	197
7	627442	11937	627442.jpg	11937	197
8	143159	11937	143159.jpg	11937	197
9	1769449	11937	1769449.jpg	11937	197
10	85297	11937	85297.jpg	11937	197
11	1734330	11937	1734330.jpg	11937	197
12	580968	11937	580968.jpg	11937	197
13	1224364	11937	1224364.jpg	11937	197
14	652593	11937	652593.jpg	11937	197
15	1956705	11937	1956705.jpg	11937	197
16	1695175	11937	1695175.jpg	11937	197
17	1892098	11937	1892098.jpg	11937	197
18	228772	11937	228772.jpg	11937	197
19	617805	11937	617805.jpg	11937	197
20	287078	11937	287078.jpg	11937	197
21	221112	11937	221112.jpg	11937	197
22	614349	11937	614349.jpg	11937	197
23	181375	11937	181375.jpg	11937	197
24	906509	11937	906509.jpg	11937	197
25	500899	11937	500899.jpg	11937	197
26	373301	11937	373301.jpg	11937	197
27	1768802	11937	1768802.jpg	11937	197
28	1086939	11937	1086939.jpg	11937	197
29	114771	11937	114771.jpg	11937	197
30	308086	11937	308086.jpg	11937	197
31	1897105	11937	1897105.jpg	11937	197
32	2099527	14922	2099527.jpg	14922	831
33	521314	14922	521314.jpg	14922	831
34	348193	14922	348193.jpg	14922	831
35	2074095	14922	2074095.jpg	14922	831
36	369653	14922	369653.jpg	14922	831
37	635140	14922	635140.jpg	14922	831
38	1308194	14922	1308194.jpg	14922	831
39	691718	14922	691718.jpg	14922	831
40	346944	14922	346944.jpg	14922	831
41	326858	14922	326858.jpg	14922	831
42	791451	14922	791451.jpg	14922	831
43	497594	14922	497594.jpg	14922	831
44	488234	14922	488234.jpg	14922	831
45	379208	14922	379208.jpg	14922	831
46	1361701	14922	1361701.jpg	14922	831
47	951185	14922	951185.jpg	14922	831
48	1754603	14922	1754603.jpg	14922	831
49	266461	14922	266461.jpg	14922	831
50	780987	14922	780987.jpg	14922	831
51	1244428	14922	1244428.jpg	14922	831
52	922278	14922	922278.jpg	14922	831
53	671923	14922	671923.jpg	14922	831
54	394737	14922	394737.jpg	14922	831
55	1418785	14922	1418785.jpg	14922	831
56	653085	14922	653085.jpg	14922	831
57	1935379	14922	1935379.jpg	14922	831
58	787256	14922	787256.jpg	14922	831
59	162229	14922	162229.jpg	14922	831
60	132324	14922	132324.jpg	14922	831
61	448831	14922	448831.jpg	14922	831
62	190254	14922	190254.jpg	14922	831
63	1025310	14922	1025310.jpg	14922	831
64	1001506	13651	1001506.jpg	13651	610
65	1414522	13651	1414522.jpg	13651	610
66	1507730	13651	1507730.jpg	13651	610
67	1782038	13651	1782038.jpg	13651	610
68	591506	13651	591506.jpg	13651	610
69	830140	13651	830140.jpg	13651	610
70	166507	13651	166507.jpg	13651	610
71	1254352	13651	1254352.jpg	13651	610
72	1165856	13651	1165856.jpg	13651	610
73	1471349	13651	1471349.jpg	13651	610
74	218768	13651	218768.jpg	13651	610
75	693243	13651	693243.jpg	13651	610
76	833982	13651	833982.jpg	13651	610
77	1279707	13651	1279707.jpg	13651	610
78	1831399	13651	1831399.jpg	13651	610
79	1517803	13651	1517803.jpg	13651	610
80	1510702	13651	1510702.jpg	13651	610
81	1621577	13651	1621577.jpg	13651	610
82	1731434	13651	1731434.jpg	13651	610
83	690571	13651	690571.jpg	13651	610
84	602432	13651	602432.jpg	13651	610
85	305041	13651	305041.jpg	13651	610
86	576016	13651	576016.jpg	13651	610
87	1448964	13651	1448964.jpg	13651	610
88	765902	13651	765902.jpg	13651	610
89	1268721	13651	1268721.jpg	13651	610
90	862218	13651	862218.jpg	13651	610
91	1761750	13651	1761750.jpg	13651	610
92	1377361	13651	1377361.jpg	13651	610
93	1800623	13651	1800623.jpg	13651	610
94	945129	13651	945129.jpg	13651	610
95	1458782	13651	1458782.jpg	13651	610
96	55364	13143	55364.jpg	13143	480
97	312224	13143	312224.jpg	13143	480
98	345096	13143	345096.jpg	13143	480
99	1238943	13143	1238943.jpg	13143	480
100	1154458	13143	1154458.jpg	13143	480
101	1392110	13143	1392110.jpg	13143	480
102	443124	13143	443124.jpg	13143	480
103	373869	13143	373869.jpg	13143	480
104	221523	13143	221523.jpg	13143	480
105	415281	13143	415281.jpg	13143	480
106	836928	13143	836928.jpg	13143	480
107	1123925	13143	1123925.jpg	13143	480
108	604759	13143	604759.jpg	13143	480
109	844914	13143	844914.jpg	13143	480
110	98350	13143	98350.jpg	13143	480
111	119372	13143	119372.jpg	13143	480
112	479598	13143	479598.jpg	13143	480
113	1038269	13143	1038269.jpg	13143	480
114	1125907	13143	1125907.jpg	13143	480
115	1250938	13143	1250938.jpg	13143	480
116	1562516	13143	1562516.jpg	13143	480
117	128649	13143	128649.jpg	13143	480
118	470886	13143	470886.jpg	13143	480
119	239867	13143	239867.jpg	13143	480
120	1149847	13143	1149847.jpg	13143	480
121	1464922	13143	1464922.jpg	13143	480
122	654746	13143	654746.jpg	13143	480
123	404810	13143	404810.jpg	13143	480
124	696721	13143	696721.jpg	13143	480
125	388243	13143	388243.jpg	13143	480
126	1455895	13143	1455895.jpg	13143	480
127	1081634	13143	1081634.jpg	13143	480
128	951775	12980	951775.jpg	12980	447
129	851711	12980	851711.jpg	12980	447
130	566815	12980	566815.jpg	12980	447
131	1302215	12980	1302215.jpg	12980	447
132	1892769	12980	1892769.jpg	12980	447
133	1845262	12980	1845262.jpg	12980	447
134	1933477	12980	1933477.jpg	12980	447
135	1571313	12980	1571313.jpg	12980	447
136	1847431	12980	1847431.jpg	12980	447
137	1236586	12980	1236586.jpg	12980	447
138	1986820	12980	1986820.jpg	12980	447
139	1973324	12980	1973324.jpg	12980	447
140	338858	12980	338858.jpg	12980	447
141	1761573	12980	1761573.jpg	12980	447
142	1114988	12980	1114988.jpg	12980	447
143	22292	12980	22292.jpg	12980	447
144	337507	12980	337507.jpg	12980	447
145	1264571	12980	1264571.jpg	12980	447
146	608392	12980	608392.jpg	12980	447
147	908915	12980	908915.jpg	12980	447
148	1901884	12980	1901884.jpg	12980	447
149	1911161	12980	1911161.jpg	12980	447
150	1094107	12980	1094107.jpg	12980	447
151	1193255	12980	1193255.jpg	12980	447
152	640084	12980	640084.jpg	12980	447
153	1169044	12980	1169044.jpg	12980	447
154	1766718	12980	1766718.jpg	12980	447
155	2011802	12980	2011802.jpg	12980	447
156	216767	12980	216767.jpg	12980	447
157	33002	12980	33002.jpg	12980	447
158	1532234	12980	1532234.jpg	12980	447
159	801961	12980	801961.jpg	12980	447
160	1675653	12604	1675653.jpg	12604	354
161	482023	12604	482023.jpg	12604	354
162	774326	12604	774326.jpg	12604	354
163	856786	12604	856786.jpg	12604	354
164	773369	12604	773369.jpg	12604	354
165	2015064	12604	2015064.jpg	12604	354
166	385796	12604	385796.jpg	12604	354
167	153799	12604	153799.jpg	12604	354
168	1660921	12604	1660921.jpg	12604	354
169	1535854	12604	1535854.jpg	12604	354
170	1216012	12604	1216012.jpg	12604	354
